Acct ID,Symbol,,Trade Date/Time,Settle Date,Exchange,Type,Quantity,Price,Proceeds,Comm,Fee,Code
Stocks,,,,,,,,,,,,
USD,,,,,,,,,,,,
Total HRS (Bought),,,,,,,23,144.52,"-3,323.96",-1,0,
U2101073,HRS,,"2018-01-26, 12:49:57",2018-01-30,-,SELL,-23,145.14,"3,338.22",-1.08,0,
Total HRS (Sold),,,,,,,-23,145.14,"3,338.22",-1.08,0,
Total HRS,,,,,,,0,,14.26,-2.08,0,
U2101073,IBM,,"2018-01-22, 10:16:03",2018-01-24,-,BUY,20,163.5179,"-3,270.36",-1,0,D
U2101073,IBM,,"2018-02-01, 15:50:20",2018-02-05,-,BUY,80,162.3265,"-12,986.12",-1,0,D
U2101073,IBM,,"2018-02-02, 09:30:00",2018-02-06,-,BUY,20,161.7,"-3,234.00",-1,0,
U2101073,IBM,,"2018-02-06, 13:31:15",2018-02-08,-,BUY,21,151.745,"-3,186.64",-1,0,
Total IBM (Bought),,,,,,,141,160.8306596,"-22,677.12",-4,0,
U2101073,IBM,,"2018-02-01, 15:46:22",2018-02-05,-,SELL,-100,162.078,"16,207.80",-1.39,0,P
U2101073,IBM,,"2018-02-05, 09:40:57",2018-02-07,-,SELL,-20,157.4,"3,148.00",-1.08,0,
U2101073,IBM,,"2018-02-08, 15:59:05",2018-02-12,-,SELL,-21,147.96,"3,107.16",-1.07,0,
Total IBM (Sold),,,,,,,-141,159.311773,"22,462.96",-3.54,0,
Total IBM,,,,,,,0,,-214.16,-7.54,0,
U2101073,IEV,,"2018-02-06, 13:36:44",2018-02-08,-,BUY,42,47.14,"-1,979.88",-1,0,
U2101073,IEV,,"2018-02-06, 13:38:56",2018-02-08,-,BUY,25,47.125,"-1,178.12",-1,0,
Total IEV (Bought),,,,,,,67,47.134403,"-3,158.00",-2,0,
U2101073,IEV,,"2018-02-06, 13:39:22",2018-02-08,-,SELL,-25,47.11,"1,177.75",-1.03,0,
U2101073,IEV,,"2018-02-13, 15:17:58",2018-02-15,-,SELL,-42,46.62,"1,958.04",-1.05,0,
Total IEV (Sold),,,,,,,-67,46.8028358,"3,135.79",-2.08,0,
Total IEV,,,,,,,0,,-22.22,-4.08,0,
U2101073,IR,,"2018-02-28, 15:52:59",2018-03-02,-,BUY,37,89.04,"-3,294.48",-1,0,
Total IR (Bought),,,,,,,37,89.04,"-3,294.48",-1,0,
U2101073,IR,,"2018-03-01, 13:55:42",2018-03-05,-,SELL,-37,86.3501,"3,194.95",-1.08,0,
Total IR (Sold),,,,,,,-37,86.3501,"3,194.95",-1.08,0,
Total IR,,,,,,,0,,-99.53,-2.08,0,
U2101073,IYF,,"2018-01-03, 10:57:00",2018-01-05,-,BUY,13,119.41,"-1,552.33",-1,0,P
Total IYF (Bought),,,,,,,13,119.41,"-1,552.33",-1,0,
U2101073,IYF,,"2018-01-08, 11:13:39",2018-01-10,-,SELL,-13,120.69,"1,568.97",-1.04,0,
Total IYF (Sold),,,,,,,-13,120.69,"1,568.97",-1.04,0,
Total IYF,,,,,,,0,,16.64,-2.04,0,
U2101073,KO,,"2017-11-29, 15:49:12",2017-12-01,-,BUY,36,45.4693,"-1,636.89",-1,0,D
Total KO (Bought),,,,,,,36,45.4693,"-1,636.89",-1,0,
U2101073,KO,,"2017-12-04, 15:51:14",2017-12-06,-,SELL,-36,46.19,"1,662.84",-1.04,0,
Total KO (Sold),,,,,,,-36,46.19,"1,662.84",-1.04,0,
Total KO,,,,,,,0,,25.95,-2.04,0,
U2101073,KR,,"2018-02-22, 14:38:24",2018-02-26,-,BUY,123,27.1599,"-3,340.67",-1,0,D
Total KR (Bought),,,,,,,123,27.1599,"-3,340.67",-1,0,
U2101073,KR,,"2018-02-28, 09:43:26",2018-03-02,-,SELL,-123,27.2,"3,345.60",-1.09,0,P
Total KR (Sold),,,,,,,-123,27.2,"3,345.60",-1.09,0,
Total KR,,,,,,,0,,4.93,-2.09,0,
U2101073,MAR,,"2018-02-27, 15:56:37",2018-03-01,-,BUY,24,138.5879,"-3,326.11",-1,0,D
Total MAR (Bought),,,,,,,24,138.5879,"-3,326.11",-1,0,
U2101073,MAR,,"2018-03-01, 13:01:20",2018-03-05,-,SELL,-24,138.94,"3,334.56",-1.08,0,
Total MAR (Sold),,,,,,,-24,138.94,"3,334.56",-1.08,0,
Total MAR,,,,,,,0,,8.45,-2.08,0,
U2101073,MCD,,"2017-12-20, 15:29:53",2017-12-22,-,BUY,9,172.1,"-1,548.90",-1,0,
Total MCD (Bought),,,,,,,9,172.1,"-1,548.90",-1,0,
U2101073,MCD,,"2018-01-02, 15:50:30",2018-01-04,-,SELL,-9,173.33,"1,559.97",-1.04,0,
Total MCD (Sold),,,,,,,-9,173.33,"1,559.97",-1.04,0,
Total MCD,,,,,,,0,,11.07,-2.04,0,
U2101073,MMM,,"2017-12-20, 15:30:19",2017-12-22,-,BUY,7,236.91,"-1,658.37",-1,0,
Total MMM (Bought),,,,,,,7,236.91,"-1,658.37",-1,0,
U2101073,MMM,,"2018-01-02, 15:44:47",2018-01-04,-,SELL,-7,235.11,"1,645.77",-1.04,0,
Total MMM (Sold),,,,,,,-7,235.11,"1,645.77",-1.04,0,
Total MMM,,,,,,,0,,-12.6,-2.04,0,
U2101073,NEM,,"2018-02-12, 15:58:13",2018-02-14,-,BUY,89,36.925,"-3,286.32",-1,0,
Total NEM (Bought),,,,,,,89,36.925,"-3,286.32",-1,0,
U2101073,NEM,,"2018-02-14, 14:40:06",2018-02-16,-,SELL,-89,39,"3,471.00",-1.09,0,
Total NEM (Sold),,,,,,,-89,39,"3,471.00",-1.09,0,
Total NEM,,,,,,,0,,184.68,-2.09,0,
U2101073,NKE,,"2018-02-13, 15:10:03",2018-02-15,-,BUY,50,65.86,"-3,293.00",-1,0,
U2101073,NKE,,"2018-03-05, 16:00:09",2018-03-07,-,BUY,10,65.05,-650.5,-1,0,
U2101073,NKE,,"2018-03-05, 16:00:46",2018-03-07,-,BUY,41,65.12,"-2,669.92",-1,0,
Total NKE (Bought),,,,,,,101,65.4794059,"-6,613.42",-3,0,
U2101073,NKE,,"2018-02-14, 15:05:29",2018-02-16,-,SELL,-50,67.75,"3,387.50",-1.08,0,P
Total NKE (Sold),,,,,,,-50,67.75,"3,387.50",-1.08,0,
Total NKE,,,,,,,51,,"-3,225.92",-4.08,0,
U2101073,NSC,,"2018-01-25, 15:31:49",2018-01-29,-,BUY,22,148.45,"-3,265.90",-1,0,
Total NSC (Bought),,,,,,,22,148.45,"-3,265.90",-1,0,
U2101073,NSC,,"2018-02-01, 15:45:52",2018-02-05,-,SELL,-22,148.0221,"3,256.49",-1.08,0,D
Total NSC (Sold),,,,,,,-22,148.0221,"3,256.49",-1.08,0,
Total NSC,,,,,,,0,,-9.41,-2.08,0,
U2101073,ORLY,,"2018-02-27, 15:56:19",2018-03-01,-,BUY,13,238.62,"-3,102.06",-1,0,
Total ORLY (Bought),,,,,,,13,238.62,"-3,102.06",-1,0,
U2101073,ORLY,,"2018-02-28, 12:34:20",2018-03-02,-,SELL,-13,250.26,"3,253.38",-1.08,0,
Total ORLY (Sold),,,,,,,-13,250.26,"3,253.38",-1.08,0,
Total ORLY,,,,,,,0,,151.32,-2.08,0,
U2101073,PBW,,"2018-01-23, 15:11:37",2018-01-25,-,BUY,52,25.5,"-1,326.00",-1,0,P
U2101073,PBW,,"2018-01-23, 15:30:12",2018-01-25,-,BUY,79,25.52,"-2,016.08",-1,0,P
Total PBW (Bought),,,,,,,131,25.5120611,"-3,342.08",-2,0,
U2101073,PBW,,"2018-01-30, 14:55:37",2018-02-01,-,SELL,-131,25.0023664,"3,275.31",-1.09,0,P
Total PBW (Sold),,,,,,,-131,25.0023664,"3,275.31",-1.09,0,
Total PBW,,,,,,,0,,-66.77,-3.09,0,
U2101073,PG,,"2018-01-03, 10:18:45",2018-01-05,-,BUY,18,90.8,"-1,634.40",-1,0,
U2101073,PG,,"2018-01-23, 12:55:28",2018-01-25,-,BUY,37,88.8,"-3,285.60",-1,0,
Total PG (Bought),,,,,,,55,89.4545455,"-4,920.00",-2,0,
U2101073,PG,,"2018-01-12, 06:25:49",2018-01-17,-,SELL,-18,90.87,"1,635.66",-1.04,0,
U2101073,PG,,"2018-01-31, 14:47:01",2018-02-02,-,SELL,-37,86.18,"3,188.66",-1.08,0,
Total PG (Sold),,,,,,,-55,87.7149091,"4,824.32",-2.12,0,
Total PG,,,,,,,0,,-95.68,-4.12,0,
U2101073,PNR,,"2018-02-28, 15:53:21",2018-03-02,-,BUY,49,68.9586,"-3,378.97",-1,0,D
Total PNR (Bought),,,,,,,49,68.9586,"-3,378.97",-1,0,
U2101073,PNR,,"2018-03-01, 13:47:56",2018-03-05,-,SELL,-49,66.8601,"3,276.14",-1.08,0,
